,per,pbr,roe,revenue_growth
CSGP,106.95,6.54,7.11,15.5
CSGS,18.17,3.55,19.7,-2.3
CSII,NA,5.76,-13.07,-37.6
CSIQ,9.16,1.52,17.75,-32.9
CSOD,NA,10.15,-10.35,30
CSPI,NA,1.26,-5.95,-37.3
CSQ,7.68,1.11,-3.97,-3.4
CSSE,NA,5.44,-47.24,12.9
CSSEP,NA,NA,-47.24,12.9
CSTE,106.55,0.84,0.77,-29.8
CSTL,511.63,6.59,9.22,18.4
CSTR,9.94,0.81,7.13,11.8
CSWC,24.86,0.93,-6.66,-4
CSWI,27.36,3.9,14.77,-11.1
CSX,20.89,4.89,23.69,-26.3
CTAS,40.65,10.11,27.81,-3.6
CTBI,9.54,0.87,9.38,10.8
CTG,13.03,1.07,8,-11.2
CTHR,11.79,0.62,-14.06,-41.8
CTIB,NA,12.38,-46.87,-37.6
CTIC,NA,3.99,-96.72,NA
CTMX,NA,5.35,-78.12,84.3
CTRE,36.9,1.93,5.21,-4.4
CTRM,2.94,0.57,NA,171.1
CTRN,43.86,1.8,4.17,18.2
CTSH,24.91,3.64,15.05,-3.4
CTSO,NA,15.18,-95.66,57.2
CTXR,NA,2.05,-67.97,NA
CTXS,23.66,17.01,372.61,6.7
CUBA,1.87,0.8,-29.46,-31.7
CUE,NA,5.77,-78.78,1.9
CUTR,NA,6.65,-59.62,-44.8
CVAC,NA,NA,NA,-1.2
CVBF,13.74,1.24,9.31,-13.8
CVCO,23.66,2.64,12,-3.5
CVCY,9.24,0.74,8.28,-27.8
CVET,NA,2.66,-51.62,1.7
CVGI,3.21,2.14,-33.38,-47.8
CVGW,98.06,4.51,-5.21,-24.7
CVLG,28.11,1.02,-8.13,-11.7
CVLT,547.62,4.68,0.88,6.7
CVLY,13.53,0.68,5.14,-15
CVV,NA,1.04,-7,-24.4
CWBC,9.16,0.82,9.43,-3.9
CWBR,NA,7.35,-143.27,NA
CWCO,31.09,1.02,3.88,4.3
CWST,86.23,22.65,30.43,0.7
CXDC,0.95,0.1,-4.68,-38.8
CXDO,78.57,16.19,27.47,12.2
CYAD,NA,3.21,-82.16,NA
CYAN,30.5,1.15,4.23,-8.9
CYBE,124.48,4.59,3.86,6.3
CYBR,128.21,6.5,5.68,6.3
CYCC,NA,0.74,-35.88,NA
CYCCP,NA,NA,-35.88,NA
CYCN,NA,1.52,-89.86,-54
CYRN,NA,3.18,-76.46,-5.5
CYRX,NA,14.94,-19.68,10.9
CYTK,NA,NA,NA,-49.7
CZNC,11.79,1.09,8.22,4.6
CZR,16.59,7.02,-18.64,-80.1
CZWI,7.94,0.52,6.81,2.9
DADA,NA,8.61,NA,93.1
DAIO,NA,1.6,-13.71,-20.2
DAKT,203,0.97,0.49,-20.3
DARE,NA,109.48,-690.95,NA
DBVT,NA,0.97,-94.15,-11.9
DBX,254,10.45,4.33,16.4
DCOM,13.59,0.73,5.12,15.4
DCPH,NA,5.1,-62.54,-71.6
DCT,NA,13.46,NA,27.3
DCTH,NA,5.9,NA,-8
DDOG,1.61k,37.34,0.72,68.2
DENN,11.65,NA,NA,-73.6
DFFN,NA,1.61,-49.9,NA
DFHT,NA,NA,NA,NA
DFPH,NA,NA,NA,NA
DGICA,10.26,0.88,9.88,0.1
DGICB,8.85,0.76,9.88,0.1
DGII,79.62,1.34,1.77,15
DGLY,NA,4.48,-164.86,-32
DHC,NA,0.34,-3.18,56.6
DHIL,12.35,2.3,16.1,-15.8
DIOD,25.87,2.84,11.35,-10.4
DISCA,10.64,1.08,12.91,-11.9
DISCB,17.17,1.74,12.91,-11.9
DISCK,9.63,0.98,12.91,-11.9
DISH,12.28,1.19,12.13,-0.8
DJCO,33.24,3.28,-31.04,-11.3
DKNG,NA,NA,NA,23.6
DLHC,16.95,2.27,15.32,33
DLPN,NA,1.21,-9.91,-17.2
DLTH,33.77,3.07,9.36,12.6
DLTR,25.62,3.33,14,9.4
DMAC,NA,7.65,-85.55,NA
DMLP,10.6,3.9,32.57,-67
DMRC,NA,12.61,-65.84,5.1
DMTK,58.85,3.85,-120.52,37.5
DNKN,33.06,NA,NA,-20
DNLI,NA,10.26,-44.16,39.3
DOCU,NA,86.55,-38.62,45.2
DOGZ,107,0.46,0.42,-10.6
DOMO,5.38,NA,NA,22.7
DOOO,47.15,NA,NA,-15.5
DORM,39.71,3.7,9.7,-8.3
DOX,16.31,2.16,13.53,0.1
DOYU,56.36,4.37,10.05,33.9
DPHC,391.51,2.62,NA,NA
DPHCU,NA,NA,NA,NA
DRAD,NA,0.6,-18.5,-13.4
DRIO,NA,8.28,-227.9,8.2
DRNA,NA,9.49,-77.42,611.9
DRRX,NA,10.27,-6.18,548.5
DRTT,78.74,1.14,-5.61,-34.2
DSGX,111.08,5.48,5.17,4.4
DSKE,NA,7.36,-111.78,-21.9
DSPG,NA,2.27,-2.09,-2.4
DSWL,15.5,0.55,-1.61,-13
DTEA,NA,1.46,-596.45,-41.2
DTIL,NA,4.17,-77.97,-80
DTSS,NA,18.23,-38.62,NA
DUO,NA,2.5,-61.66,-22.2
DUOT,NA,4.42,-173.03,47.3
DVAX,NA,8.34,-390.2,-67.9
DWSN,NA,0.48,-1.26,22.5
DXCM,184.09,28.64,20.05,34.3
DXLG,NA,1.85,-163.87,-38
DXPE,14.06,0.88,6.68,-24.6
DXYN,1.06,0.22,24.49,-39.4
DYAI,NA,5.93,-23.48,34.1
DYN,NA,5.97,NA,NA
DYNT,NA,0.89,-16.85,-47.7
DZSI,NA,2.16,-21.16,-15.7
EA,19.4,4.9,27.8,20.7
EARS,3.38,1.1,-84.67,NA
EAST,NA,5.43,-186.45,7.3
EBAY,20.38,13.46,59.96,18.2
EBIX,7.2,1.21,14.42,-22.8
EBMT,7.44,0.86,12.52,57.9
EBON,NA,114.35,NA,-50.6
EBSB,8.87,0.83,9.37,2
EBTC,9.17,0.85,9.71,6.3
ECHO,186.87,1.98,1.14,-7.1
ECOL,18.95,1.62,-55.95,37.3
ECOR,NA,3.79,-100.75,20.9
ECPG,6.38,1.23,20.85,23.6
EDAP,23.2,4.36,NA,-26
EDIT,NA,4.91,-42.59,361.3
EDNT,NA,1.94,-93.59,15.3
EDRY,NA,0.26,-9.71,-35.1
EDSA,NA,13.49,NA,"21,897.00"
EDTK,3.86,1.33,42.54,12.1
EDUC,15.68,4.23,30.37,142.5
EEFT,40.94,3.99,9.97,-23.7
EFOI,NA,14.9,-181.41,8.2
EFSC,9.45,0.92,10.12,-21
EGAN,75.39,15.47,24.46,13.1
EGBN,8.07,0.81,10.45,-13
EGLE,NA,0.42,-8.53,-17.3
EGOV,27.89,5.43,20.55,2.2
EGRX,42.81,3,-2.53,-26
EH,NA,11.4,-24.17,62.7
EHTH,25.58,2.67,12.61,35
EIDX,NA,19.69,-45.33,NA
EIGI,42.46,4.08,10.74,-1.5
EIGR,NA,5.06,-90.2,NA
EKSO,NA,3.98,-625.59,-30.6
ELOX,NA,5.84,-122.73,NA
ELSE,207,1.1,0.33,-7.4
ELTK,10.94,2.73,31.2,7.2
EMCF,10.81,0.77,7.19,-9.4
EMKR,NA,1.33,-27.85,58.3
EML,13.58,1.34,10.02,-20.5
ENDP,NA,NA,NA,-1.7
ENG,23.1,1.65,8.15,31.3
ENLV,NA,5.25,-39.92,NA
ENOB,NA,0.95,-6.73,NA
ENPH,86.49,37.69,69.51,-6.4
ENSG,24.69,4.36,18.89,18.6
ENTA,447.3,1.87,0.51,-58
ENTG,49.11,8.98,19.47,18.4
ENTX,NA,2.8,-183.13,-29.7
EOLS,NA,3.24,-194.26,237.8
EPAY,316.23,4.93,-2.39,2.2
EPIX,NA,5.28,-106.04,NA
EPSN,26.33,1.01,4.34,-7.2
EPZM,NA,5.15,-65.22,-58.2
EQ,NA,4.83,-65.57,NA
EQBK,10.61,0.5,4.98,-28.9
EQIX,141.96,6.97,5.2,6.1
EQOS,NA,NA,NA,NA
ERIC,112.53,3.98,3.01,1.4
ERIE,39.24,9.69,26.14,1.4
ERII,23.85,3.29,15.51,91.3
ERYP,NA,1.74,-81.29,-58.1
ESBK,10.56,0.76,6.4,5.1
ESCA,17.95,2.11,12.14,50.1
ESEA,4.29,0.77,11.51,67.2
ESGR,6.24,0.81,10.99,123.6
ESGRO,NA,NA,10.99,123.6
ESGRP,NA,NA,10.99,123.6
ESLT,19.07,2.35,12.62,1.5
ESPR,NA,10.99,-78.17,"21,512.60"
ESQ,9.95,1.07,11.63,-9.3
ESSA,9.61,0.74,7.49,4.6
ESSC,314.85,1.25,22,NA
ESTA,NA,5.21,-68.69,-51.7
ESXB,8.12,0.72,9.24,-1.9
ETNB,NA,6.9,-136.33,NA
ETON,NA,23.04,-180.7,NA
ETSY,117.13,35.65,32.08,136.7
ETTX,0.04,1.51,-86.23,NA
EVBG,NA,19.09,-33.67,35.1
EVER,NA,16.48,-9.61,40.7
EVFM,NA,3.27,-188.49,NA
EVGN,NA,3.18,-49.56,55.2
EVK,3.67,0.14,-5.73,-35.2
EVLO,NA,3.27,-103.87,NA
EVOK,NA,34.67,-395.28,NA
EVOL,NA,1.64,-17.66,1.2
EVOP,NA,NA,-14.2,-23
EWBC,8.85,1.04,12.42,-28.3
EXAS,NA,6.18,-9.42,34.5
EXC,15.28,1.23,7.32,-4.8
EXEL,26.1,3.92,16.96,8
EXFO,36.21,0.95,-5.53,0.6
EXLS,34.92,3.61,10.77,-8.6
EXPC,NA,NA,NA,NA
EXPD,26.66,7.29,28.73,26.8
EXPE,24.27,7.35,-32.52,-82
EXPI,517.91,49.85,12.27,32.6
EXPO,48.91,11.54,24.06,-12.4
EXTR,NA,87.39,-209,-14.6
EYE,101.06,4.05,-3.63,-39.5
EYEG,NA,2.23,-120.47,NA
EYEN,NA,10.96,-255.47,NA
EYES,NA,10.27,-235.74,NA
EYPT,NA,14.35,-322.13,-42.8
EZPW,40,0.42,-6.4,3.8
FAMI,NA,0.86,-0.86,-5.6
FANG,39.6,0.45,-21.22,-58.4
FANH,62.62,3.22,4.34,-1.9
FARM,NA,0.69,-27.47,-42.9
FARO,NA,3.68,-23.33,-35.2
FAST,30.56,8.88,30.77,2.5
FAT,NA,6.73,-508.39,-47.3
FATE,NA,8.91,-38.73,94
FB,32.61,6.88,23.61,10.7
FBIO,NA,4.02,-106.89,2.2
FBIOP,NA,NA,-106.89,2.2
FBIZ,8.36,0.73,9.03,-16.2
FBMS,8.97,0.8,9.03,9.6
FBNC,8.31,0.76,9.56,-15.4
FBRX,NA,17.48,NA,NA
FBSS,9.01,0.84,9.76,-8.1
FCAP,19.71,1.85,9.84,-7.9
FCBC,9.44,0.84,9.29,5
FCBP,6.81,0.62,9.33,-6.5
FCCO,11.02,0.81,7.74,-3.4
FCCY,8.63,0.72,8.94,12.3
FCEL,3.05,7.46,-69.86,-17.5
FCFS,16.95,1.98,11.54,-7.5
FCNCA,8.65,0.95,11.57,12.7
FCRD,NA,0.39,-29.05,-54.2
FDBC,22.28,1.55,6.7,16
FDUS,16.97,0.66,3.84,13.1
FEIM,NA,1.69,-16.55,3.2
FELE,33.75,3.81,11.67,-13.2
FENC,NA,5.35,-53.57,NA
FEYE,NA,4.88,-35.17,5.6
FFBC,8.17,0.6,7.51,-10.9
FFBW,39.86,0.71,2.07,8.6
FFHL,2.3,0.4,18.99,-6
FFIC,8.26,0.57,7.13,28.9
FFIN,23.71,2.66,12.75,18.7
FFIV,24.82,3.76,17.19,3.5
FFNW,10.28,0.6,5.81,-7.3
FFWM,10.53,1.04,10.39,12.6
FGBI,8.23,0.78,9.97,29.4
FGEN,NA,10.53,-58.53,-77.6
FHB,10.26,0.75,7.5,-38
FIBK,13.83,1.15,8.49,-10.3
FIII,NA,NA,NA,NA
FISI,7.07,0.6,8.78,2.3
FISV,87.77,2.16,4.76,129.2
FITB,12.05,0.81,7.1,-24.4
FITBI,NA,NA,7.1,-24.4
FIVE,77.9,10.64,14.47,2.1
FIVN,NA,37.41,-11.52,28.9
FIXX,NA,2.54,-51.92,44.6
FIZZ,26.36,7.56,33.5,11.3
FLDM,NA,3.79,-35.74,-7.6
FLEX,69.83,2.14,3.18,-16.6
FLGT,284.38,9.52,3.66,105
FLIC,9.81,0.99,10.21,3.7
FLIR,36.05,2.81,7.67,0
FLL,NA,1.58,-27.8,-65.2
FLMN,17.23,1.81,5.63,-65.4
FLNT,NA,0.9,-1.24,1.3
FLUX,NA,NA,NA,107.2
FLWS,32.58,4.67,15.89,61.1
FLXN,NA,40.09,-486.91,-8.9
FLXS,NA,1.16,-14.09,-35.3
FMAO,12.58,0.94,7.71,-6
FMBH,10.16,0.81,8.27,-12.2
FMBI,9.25,0.56,5.86,-17.9
FMCI,NA,3.12,NA,NA
FMCIU,NA,NA,NA,NA
FMNB,8.53,0.99,12.49,14.1
FMTX,NA,4.85,NA,NA
FNCB,10.19,0.84,8.71,10.5
FNHC,17.19,0.37,-9.54,27.3
FNKO,35.69,1.41,-3.96,-48.7
FNLC,9.59,1.16,12.36,2.7
FNWB,13.9,0.63,4.3,17.3
FOCS,156.88,5.41,3.04,3.8
FOLD,NA,12.31,-60.97,41.3
FONR,18.01,1.11,9.58,-7.5
FORD,NA,2.64,-44.68,-3.6
FORK,2.54,0.46,20.04,11.7
FORM,36.31,3.28,9.77,14.4
FORR,52.18,4.09,8.37,-11.4
FORTY,31.73,3.04,11.5,5.9
FOSL,NA,0.74,-29.92,-48.3
FOX,16.74,1.6,10.33,-3.8
FOXA,16.58,1.59,10.33,-3.8
FOXF,46.89,5.71,14.32,-4.7
FPAY,NA,NA,1.76,18.7
FPRX,NA,1.78,-63.99,2.7
FRAF,7.35,0.75,10.57,-17.5
FRAN,NA,0.68,-127.22,-28.5
FRBA,10.33,0.6,6.39,13.9
FRBK,NA,0.53,-0.94,13.1
FREE,NA,1.03,NA,NA
FREQ,NA,4.21,-17.75,NA
FRG,76.91,3.6,NA,"2,052.10"
FRGI,NA,2.02,-33.38,-28.9
FRHC,43.05,10.09,26.49,102.6
FRLN,NA,6.58,-99.9,NA
FRME,8.83,0.74,9.17,-8.3
FROG,NA,45.85,NA,46.3
FRPH,41.03,1.05,2.5,-26
FRPT,1.04k,13.17,1.7,33.2
FRSX,NA,2.4,-68.22,NA
FRTA,37.74,7.66,23.74,3.9
FSBW,7.47,0.96,14.19,20.4
FSDC,NA,NA,NA,NA
FSEA,150.75,0.82,0.69,19.7
FSFG,5.52,0.91,18.48,153
FSLR,90.52,1.71,1.91,9.8
FSRV,NA,NA,NA,NA
FSTR,5.65,0.97,18.64,-27.5
FSV,72.28,9.81,13.35,8.3
FTAC,579.92,1.5,49.96,NA
FTACU,NA,NA,49.96,NA
FTDR,25.49,NA,NA,7.5
FTEK,NA,0.95,-40.37,-50.8
FTFT,NA,5.21,NA,-55.8
FTHM,NA,NA,NA,39.2
FTNT,55.13,39.2,49.35,18
FULC,NA,2.53,-76.09,NA
FULT,9.59,0.71,7.55,-11.6
FUNC,7.87,0.73,9.34,-2.8
FUND,2.95,0.85,-1.26,-3.2
FUSB,13.21,0.51,4.23,-7.2
FUSN,NA,1.66,NA,NA
FUTU,66.7,11.02,16.85,168.5
FUV,NA,14.58,-158.77,"3,054.10"
FVCB,12.36,0.91,8.23,-6.2
FVE,3.6,0.76,-3.29,-80.4
FWONA,NA,1.17,-10.52,-96.1
FWONK,NA,1.27,-10.52,-96.1
FWP,NA,0.54,-4.67,NA
FWRD,25.85,3.08,12.33,-7
FXNC,7.7,0.86,11.92,-4.7
GABC,14.01,1.3,10.17,2.5
GAIA,NA,3.24,-18.45,22.7
GAIN,12.12,0.83,-3.46,-38.1
GAINL,NA,NA,-3.46,-38.1
GAINM,NA,NA,-3.46,-38.1
GALT,NA,4.71,-39.69,NA
GAN,4.87k,7.39,-17.63,99.4
GARS,NA,0.62,-40.45,-30.5
GASS,8.25,0.18,2.18,6.4
GBCI,15.03,1.51,11.09,16.4
GBDC,NA,0.95,-6.86,73.9
GBIO,NA,3.97,NA,NA
GBLI,11.35,0.44,4.02,22.3
GBT,NA,7.65,-47.73,NA
GCBC,10.16,1.48,15.53,9.3
GDEN,NA,2.11,-52.89,-69.4
GDRX,219.88,NA,NA,34.7
GDS,NA,6.32,-3.33,36.2
GDYN,NA,NA,NA,-21.9
GEC,NA,0.93,-19.08,5.7
GECC,NA,1.22,-52.63,-29
GENC,27.9,1.06,3.9,21.7
GENE,NA,5.3,-82.49,31.8
GEOS,32.09,0.49,-4.01,-0.7
GERN,NA,2.39,-37.49,-57.4
GEVO,NA,1.54,-42.24,-80.6
GFED,7.28,0.75,10.45,-1
GFN,51.36,1.61,4.52,-12.2
GFNCP,NA,NA,4.52,-12.2
GGAL,3.5,0.53,15.71,1.2
GH,NA,9.14,-11.52,22.9
GHIV,NA,NA,NA,NA
GHSI,NA,1.43,-109.24,356.3
GIFI,NA,0.33,-23.49,-25.5
GIGM,NA,0.57,-2.18,4.3
GIII,10.78,0.56,5.52,-53.8
GILD,18.91,4.4,-1.4,-9.5
GILT,21.2,1.24,6.23,-35.8
GLAD,10.88,1.05,-2.85,-9
GLBS,NA,1.04,-148.02,-32.4
GLBZ,20.15,0.75,3.73,-20.6
GLDD,10.79,2.21,23.26,-9.1
GLG,NA,2.14,-18.2,NA
GLIBA,11.63,1.46,13.41,3.3
GLIBP,NA,NA,13.41,3.3
GLMD,NA,1.14,-34.53,NA
GLNG,NA,0.63,-14.25,5.7
GLPG,69.38,2.78,4.09,74.1
GLPI,20.11,4,19.43,-9.4
GLRE,NA,0.57,-14.09,-19.5
GLSI,NA,NA,NA,NA
GLUU,100.83,3.77,-4.04,39.5
GLYC,NA,1.07,-30.66,NA
GMAB,26.79,8.55,43.25,604.3
GMBL,NA,5.79,-323.42,NA
GMDA,NA,3.46,-106.12,NA
GMHI,117.44,1.34,NA,NA
GMHIU,NA,NA,NA,NA
GMLP,20.5,0.28,3.25,-6.8
GNCA,NA,18.27,-176.71,NA
GNFT,NA,4.67,-105.19,-0.1
GNLN,NA,5.55,-37.46,-38.9
GNMK,NA,9.24,-64.13,118.2
GNPX,NA,5.93,-98.81,NA
GNRS,NA,NA,NA,NA
GNSS,107.17,5.49,6.35,35.1
GNTX,23.01,3.69,16.02,-50.9
GNTY,14.18,1.16,8.74,-29.6
GNUS,NA,4.95,"-1,087.86",20.8
GO,52.97,4.19,8.29,24.5
GOCO,NA,9.3,NA,70.5
GOGL,12.04,0.39,-8.96,-2.6
GOGO,NA,NA,NA,-54.8
GOOD,NA,2.9,1.65,18.9
GOODM,NA,NA,1.65,18.9
GOOG,34.61,5.16,15.79,-1.7
GOOGL,34.49,5.14,15.79,-1.7
GOSS,NA,1.63,-52.02,NA
GOVX,NA,NA,NA,109.9
GP,NA,NA,"-24,684.32",-7.3
GPOR,NA,0.2,-176,-63.6
GPP,4.51,NA,NA,-2.1
GPRE,NA,0.77,-9.63,-33.7
GPRO,NA,8.39,-56.87,-54.1
GRAY,NA,19.16,NA,NA
GRBK,11.76,1.67,15.93,26.9
GRCY,NA,1.34,NA,NA
GRFS,20.64,2.13,10.32,9.3
GRIF,63.86,2.96,-4.18,10.8
GRIL,NA,4.59,NA,-39.7
GRIN,NA,0.33,-13.33,0
GRMN,20.31,4,21.01,-8.9
GRNQ,NA,13.25,-28.76,-76.4
GRNV,NA,NA,NA,NA
GROW,NA,2.28,-22.93,144.6
GRPN,NA,4.94,-103.61,-25.7
GRSV,NA,NA,NA,NA
GRTS,0.6,1.17,-77.04,-57.6
GRTX,NA,7.73,-166.59,NA
GRVY,32.44,7.35,25.5,13.2
GRWG,866,13.1,1.94,123
GSBC,8.43,0.87,10.96,-9.3
GSHD,575.94,3.21k,NA,54.5
GSIT,NA,1.9,-17.82,-49.1
GSKY,18.52,42.09,NA,-6.1
GSM,NA,0.27,-53.56,-38.9
GSMG,5.07,2.09,45.34,6.3
GSUM,NA,NA,NA,35.9
GT,NA,0.8,-40.41,-41
GTEC,4.84,0.69,8.62,30.1
GTH,NA,3.56,NA,40.3
GTHX,NA,2.53,-50.35,NA
GTIM,NA,1.6,-80.72,-17.3
GTLS,51.42,2.46,4.97,0.3
GTYH,NA,0.54,-20.22,35.4
GURE,NA,0.2,-9.59,-10.8
GVP,NA,1.7,-80.64,-38.9
GWGH,5.07,4.64,7.24,35.5
GWPH,105.14,4.15,-7.68,68.4
GWRS,280.75,7.45,3.38,8.4
GXGX,NA,1.35,NA,NA
GYRO,45.72,2.59,NA,-1.8
HA,16.13,0.74,-13.26,-91.6
HAFC,9.85,0.49,4.85,19.9
HAIN,144.84,2.53,1.73,1.3
HALL,6.27,0.25,-35.1,9.7
HALO,NA,37.15,-21.72,41.1
HAPP,3.4,0.57,18.06,3.7
HARP,NA,5.66,-57.02,159.8
HAS,29.4,4.61,17.32,-12.6
HAYN,41.1,0.75,1.69,-36.1
HBAN,12.23,0.93,7.4,-24.1
HBANN,NA,NA,7.4,-24.1
HBANO,NA,NA,7.4,-24.1
HBCP,13.06,0.75,5.74,-23.2
HBIO,147.5,1.65,-10.44,-21.2
HBMD,10.96,0.65,-5.29,-10
HBNC,8.03,0.79,10.23,-8
HBP,NA,2.61,-35.24,-12.1
HBT,7.18,0.97,13.72,-15.4
HCAC,68.89,93.05,NA,NA
HCACU,NA,NA,NA,NA
HCAP,81.22,0.32,-8.65,-13.5
HCAT,NA,6.07,-61.48,17.5
HCCH,NA,1.51,-4.03,NA
HCCHU,NA,NA,-4.03,NA
HCCI,80.63,1.36,2.53,-24.3
HCCO,NA,NA,NA,NA
HCDI,171.59,NA,NA,24.6
HCKT,39.21,2.88,8.06,-22.6
HCM,NA,14.28,-29.31,6.7
HCSG,21.93,3.92,17.91,-2.2
HDS,16.61,4.41,27.64,-4.4
HDSN,NA,1.09,-17.75,-14.9
HEAR,12.67,3.73,38.48,92.8
HEBT,90.59,5.03,6.04,3.5
HEC,NA,NA,NA,NA
HEES,36.81,3.13,8.26,-16.6
HELE,23.09,3.75,17.79,28.2
HEPA,0.45,1.91,-70.93,NA
HFBL,10.54,0.77,7.63,6
HFFG,67,1.5,-226.73,39.9
HFWA,18.41,0.93,5.16,-47.1
HGBL,14.23,4.61,32.3,-17.6
HGEN,NA,22.6,-296.58,NA
HGSH,25.25,0.22,-0.46,-61.7
HHR,58.43,40.83,75.04,-19.3
HIBB,24.78,2.34,9.72,74.9
HIFS,11.54,1.67,15.77,60.1
HIHO,24.61,1.61,8.71,-14.9
HIMX,NA,1.49,-0.82,10.4
HJLI,NA,51.98,-274.52,NA
HLG,28.01,5.13,19.68,-11.9
HLIO,60.51,2.4,3.96,-17.1
HLIT,NA,2.71,-9.1,-12.8
HLNE,36.95,21.5,50.82,7.8
HMHC,NA,1.91,-109.66,-35.4
HMNF,8.49,0.67,7.91,-1.3
HMST,13.84,0.97,7.45,18.3
HMSY,44.52,2.83,6.84,-15.2
HMTV,NA,1.73,-7.02,-11.3
HNNA,7.19,0.79,11.53,-34
HNRG,9.23,0.12,-29.57,-28.9
HOFT,16.55,1.46,-7.11,-14.3
HOFV,NA,NA,NA,-11
HOL,NA,NA,NA,NA
HOLI,9.28,0.75,8.19,-17.7
HOLX,35.59,7.68,22.05,-3.5
HOMB,13.15,1.06,8.52,-0.3
HONE,17.84,0.75,5.06,42.8
HOOK,NA,2.39,-33.05,65
HOPE,7.33,0.49,6.87,-19.3
HOTH,NA,3.54,-180.18,NA
HPK,NA,NA,NA,-31.4
HQI,45.18,3.08,NA,-10.4
HQY,83.11,3.11,-1.68,103.2
HRMY,NA,NA,NA,NA
HROW,9.16,9.52,-88.19,-40.4
HRTX,NA,4.27,-63.01,-38.2
HRZN,10.41,1.15,10.69,29.2
HSAQ,NA,NA,NA,NA
HSDT,NA,3.03,-198.53,-74.3
HSIC,15.7,2.98,15.73,-31.2
HSII,139.06,1.5,1.2,-15.9
HSKA,NA,3.64,-7.19,62.4
HSON,71.71,0.83,1.64,-7
HSTM,38.98,2.02,5.24,-5.1
HSTO,NA,NA,NA,-92.4
HTBI,11.5,0.62,5.58,-12.9
HTBK,13.97,0.74,6.11,4.3
HTBX,NA,4.24,-59.43,73.2
HTGM,NA,1.23,-133.74,-66.1
HTHT,100.83,19.77,-27.72,-31.7
HTLD,25.07,2.35,9.69,13.2
HTLF,10.03,0.75,7.5,-16
HUBG,22.98,1.71,7.52,-15.4
HUGE,NA,0.9,-93.65,NA
HUIZ,77.81,5.37,0.83,17.6
HURC,257.09,0.88,-0.24,-22.4
HURN,30.26,1.82,-0.12,-1.3
HUSN,NA,4.47,-84.99,-100
HVBC,25.51,0.83,NA,64.9
HWBK,9.92,1,10.53,7.5
HWC,8.86,0.57,-2.06,-98.6
HWCC,65,0.44,-2.88,-21.7
HWKN,17.55,2.19,13,-2.8
HX,NA,0.66,-81.55,-76.2
HYAC,NA,NA,NA,NA
HYMC,NA,NA,NA,NA
HYRE,NA,36.59,-595.09,46.9
HZNP,30.39,7.43,26.65,44.3
IAC,NA,NA,NA,5.5
IART,86.31,3,-0.25,-32.6
IBCP,6.82,0.85,13.38,14.1
IBEX,35.61,17.3,62.72,NA
IBKR,24.67,13.57,13.25,24.8
IBOC,10.24,0.83,8.54,-11.9
IBTX,11.03,0.86,8.07,-7.4
ICAD,NA,8.13,-109.73,-24
ICBK,22.26,0.78,3.94,-10.6
ICCC,NA,1.44,-5.87,9.4
ICCH,15.82,0.61,3.67,0.5
ICFI,20.62,1.82,9.23,-3.5
ICHR,31.23,2.5,8.64,59.2
ICLK,NA,3.97,-8.85,17.8
ICLR,34.04,6.8,21.59,-10.8
ICMB,NA,0.41,-19.63,-5.9
ICON,NA,NA,NA,-35.2
ICPT,NA,59.68,-703.8,16.5
ICUI,51.73,2.95,6.08,-2.9
IDCC,48.31,2.38,3.99,38.2
IDEX,18.5,3.12,-178.86,-67.5
IDN,NA,5.89,-7.12,18.2
IDRA,NA,1.24,-331.34,NA
IDXG,NA,2.56,-66.13,53.1
IDXX,80.1,132.04,206.87,2.8
IDYA,NA,2.23,-31.56,NA
IEA,35.36,NA,NA,46.5
IEC,14.61,2.6,20.06,17.5
IEP,NA,2.92,-18.09,24.3
IESC,21.67,2.9,14.43,3.7
IFMK,NA,3.55,-19.21,-9.6
IFRX,NA,1.26,-41.81,NA
IGIC,19.7,1.03,5.88,25.4
IGMS,NA,11.75,-49.4,NA
IHRT,11.22,0.55,-93.24,-46.6
IIIN,41.88,1.6,3.88,-3.4
IIIV,NA,7.24,0.69,-67.6
IIN,NA,1.42,-4.26,-19.5
IIVI,NA,2.33,-4.18,105.7
IKNX,NA,0.62,-16.16,-44
ILMN,69.87,10.47,15.58,-24.5
ILPT,28.79,1.46,4.74,8.4
IMAB,NA,11.31,-74.33,NA
IMAC,NA,1.02,-78.67,-31.5
IMBI,NA,4.63,-105.68,-5.3
IMGN,NA,NA,NA,-3.3
IMKTA,5.53,1.03,20.1,12
IMMP,NA,3.53,-46.69,23.4
IMMR,NA,3.78,-8.91,-35.2
IMMU,NA,34.11,-100.04,NA
IMNM,NA,15.2,NA,NA
IMOS,6.99,1.03,12.02,10.7
IMRA,NA,3.18,-42.16,NA
IMRN,NA,10.66,-45.05,-31.7
IMTE,NA,6.57,-199.99,664.4
IMTX,NA,NA,NA,28.1
IMUX,NA,5.03,-48.42,NA
IMV,NA,14.13,-153.4,816.7
IMVT,NA,14.61,-57.13,NA
IMXI,23.76,7.9,41.15,3.3
INBK,7.36,0.56,7.74,-6.5
INBX,NA,NA,NA,-34.4
INCY,38.35,8.44,-8.32,29.8
INDB,11.74,1.03,9.13,-24.9
INFI,NA,8.03,-474.68,40.1
INFN,NA,3.82,-73.91,11.9
INGN,106.38,1.94,1.89,-29.1
INMB,NA,5.4,-39.42,NA
INMD,26.31,6.56,36,-20.7
INO,NA,10.66,NA,96.9
